review_id,customer_id,employee_id,restaurant_id,rating
R227,C47,E40,,1
R228,C62,E40,,4
R229,C36,E48,,2
R230,C129,E3,,2
R231,C151,,R126,5
R232,C42,E15,,4
R233,C155,,R153,3
R234,C187,,R127,1
R235,C105,,R168,4
R236,C190,E48,,1
R237,C110,,R7,4
R238,C200,,R13,3
R239,C18,E19,,5
R240,C64,,R48,2
R241,C176,E41,,4
R242,C21,E43,,3
R243,C104,,R174,1
R244,C193,,R190,5
R245,C185,E46,,4
R246,C99,E25,,3
R247,C113,,R177,2
R248,C122,E4,,5
R249,C5,,R40,3
R250,C27,,R102,3
R251,C109,E16,,5
R252,C122,E41,,5
R253,C28,E36,,3
R254,C126,,R7,3
R255,C76,,R48,3
R256,C168,E43,,5
R257,C191,,R52,5
R258,C163,E50,,3
R259,C181,E49,,4
R260,C51,,R144,5
R261,C170,E44,,1
R262,C28,,R34,1
R263,C63,E30,,5
R264,C133,E4,,1
R265,C149,,R173,3
R266,C131,,R193,5
R267,C85,E10,,3
R268,C78,E45,,3
R269,C101,E50,,1
R270,C8,,R126,4
R271,C27,E10,,2
R272,C117,E34,,1
R273,C172,E26,,2
R274,C1,,R146,5
R275,C38,E1,,1
R276,C135,E10,,3
R277,C126,E44,,1
R278,C106,E29,,1
R279,C34,E23,,3
R280,C80,,R187,3
R281,C157,,R179,2
R282,C30,,R22,1
R283,C181,,R167,4
R284,C191,,R147,2
R285,C14,,R189,2
R286,C32,E36,,5
R287,C24,E48,,3
R288,C23,E20,,5
R289,C110,E8,,3
R290,C154,,R77,3
R291,C157,,R1,5
R292,C16,E28,,4
R293,C170,E4,,5
R294,C76,E45,,4
R295,C164,E36,,4
R296,C96,E13,,1
R297,C179,E2,,2
R298,C91,,R131,5
R299,C129,E8,,2
R300,C50,E38,,4
