order_id,customer_id,restaurant_id,employee_id,order_date,order_time,delivery_charges,distance_from_restaurant,prepared_time,out_for_delivery_time,delivered_time,pick_up_time,estimated_delivery_time,completion_time,cancellation_time,refund_time,payment_type,flag,tip_amount
O89,C85,R9,E29,2022-04-30,18:31:00,19.71,13.54,18:32:00,18:33:00,,18:34:00,46,17:18:13,16:20:30,17:11:16,VISA CREDIT,suspicious,2.62
O90,C31,R96,E31,2022-03-18,03:14:51,8.04,2.69,17:58:07,18:21:07,18:26:48,18:22:07,9,18:38:20,,,MASTER CREDIT,cancelled,3.64
O91,C78,R147,E28,2022-12-10,18:31:50,8.12,5.59,18:32:50,18:33:50,,18:34:50,11,11:53:07,11:04:13,11:49:37,CASH,suspicious,2.09
O92,C41,R40,E4,2023-02-02,02:15:01,14.95,10.08,19:25:31,19:48:31,20:10:40,19:49:31,33,20:11:05,,,VISA CREDIT,suspicious,2.74
O93,C7,R44,E16,2023-03-26,07:33:44,7.29,8.14,07:34:44,07:35:44,07:37:44,07:36:44,21,07:38:44,,,MASTER CREDIT,suspicious,0.27
O94,C97,R62,E12,2022-09-04,17:21:12,8.02,7.16,21:14:16,21:48:16,21:59:48,21:49:16,17,22:12:20,,,AMEX DEBIT,cancelled,8.81
O95,C37,R68,E24,2022-11-02,17:52:35,7.39,5.06,21:58:15,22:18:15,,22:19:15,18,23:53:46,23:01:17,23:51:11,VISA CREDIT,cancelled,4.66
O96,C19,R193,E41,2022-07-27,09:54:11,7.07,8.35,13:16:05,13:52:05,,13:53:05,21,14:37:03,14:32:11,14:36:52,MASTER DEBIT,suspicious,7.13
O97,C34,R96,E2,2022-04-12,02:50:14,7.59,9.92,23:06:24,23:34:24,,23:35:24,33,00:27:13,23:42:40,00:14:15,CASH,cancelled,4.2
O98,C155,R89,E20,2022-11-23,23:19:40,6.21,2.18,23:20:40,23:21:40,23:23:40,23:22:40,5,23:24:40,,,VISA CREDIT,delivered,4.38
O99,C85,R33,E29,2023-04-12,03:53:51,7.76,3.22,14:03:18,14:17:18,14:30:54,14:18:18,8,14:39:06,,,MASTER DEBIT,cancelled,2.4
O100,C55,R37,E37,2022-05-28,03:05:49,6.78,2.9,19:59:51,20:27:51,,20:28:51,6,21:48:46,21:11:49,21:43:34,CASH,cancelled,1.94
O101,C156,R79,E50,2022-04-05,13:30:36,7.57,1.18,15:49:27,16:14:27,,16:15:27,4,17:36:14,17:06:57,17:30:52,MASTER DEBIT,cancelled,4.31
O102,C63,R123,E21,2022-10-21,12:32:24,9.79,3.91,12:33:24,12:34:24,,12:35:24,11,10:29:27,10:01:55,10:15:14,VISA DEBIT,suspicious,0.34
O103,C195,R175,E7,2022-10-10,17:05:17,5.68,6.86,17:06:17,17:07:17,17:37:07,17:08:17,15,17:41:03,,,VISA CREDIT,delivered,5.07
O104,C176,R101,E33,2022-06-03,09:48:50,7.92,5.6,21:53:06,22:11:06,22:15:08,22:12:06,19,22:23:16,,,AMEX DEBIT,delivered,0.46
O105,C169,R11,E15,2022-11-26,15:57:31,6.18,9.53,15:58:31,15:59:31,16:01:31,16:00:31,33,16:02:31,,,VISA CREDIT,cancelled,0.86
O106,C105,R110,E9,2022-03-24,09:28:49,15.69,13.04,12:46:41,13:12:41,,13:13:41,27,14:40:14,13:45:16,14:35:02,AMEX DEBIT,cancelled,4.8
O107,C63,R198,E5,2023-01-30,11:36:02,5.85,8.61,22:49:21,23:25:21,23:27:21,23:26:21,34,23:28:21,,,VISA DEBIT,suspicious,0.26
O108,C150,R152,E44,2022-01-11,12:27:47,11.23,14.93,12:28:47,12:29:47,12:31:47,12:30:47,48,12:32:47,,,AMEX CREDIT,suspicious,1.6
O109,C58,R3,E22,2022-06-12,19:37:14,5.89,8.95,23:03:58,23:20:58,23:53:40,23:21:58,28,23:54:40,,,VISA CREDIT,suspicious,6.78
O110,C85,R172,E14,2022-10-11,06:11:58,5.39,9.41,07:57:48,08:17:48,08:25:27,08:18:48,28,08:36:25,,,CASH,suspicious,3.67
O111,C162,R159,E43,2023-02-22,07:03:23,11.47,14.27,17:08:21,17:30:21,18:09:55,17:31:21,50,18:12:36,,,AMEX CREDIT,delivered,6.26
O112,C40,R158,E43,2022-01-11,22:37:44,7.3,7.57,22:38:44,22:39:44,22:41:44,22:40:44,19,22:42:44,,,AMEX DEBIT,cancelled,5.67
O113,C103,R1,E33,2023-02-04,01:44:22,9.21,7.45,22:15:03,22:35:03,,22:36:03,17,00:11:49,23:11:49,00:06:03,AMEX DEBIT,suspicious,2.25
O114,C159,R137,E2,2022-11-29,14:37:11,9.7,4.11,14:38:11,14:39:11,14:41:11,14:40:11,9,14:42:11,,,MASTER CREDIT,cancelled,4.3
O115,C171,R42,E45,2022-08-12,05:08:17,5.24,9.59,20:04:24,20:19:24,,20:20:24,30,22:12:42,21:10:09,22:04:39,AMEX CREDIT,suspicious,2.98
O116,C90,R157,E8,2022-04-10,18:07:31,11.57,10.49,18:08:31,18:09:31,18:11:31,18:10:31,37,18:12:31,,,MASTER CREDIT,cancelled,3.9
O117,C32,R69,E2,2022-03-29,07:16:10,6.51,2.4,20:51:22,21:18:22,,21:19:22,8,22:06:52,21:59:57,22:06:14,CASH,suspicious,4.93
O118,C42,R21,E44,2023-04-01,01:51:22,6.94,1.89,11:09:20,11:33:20,11:57:54,11:34:20,7,12:10:32,,,AMEX CREDIT,suspicious,9.6
O119,C169,R29,E20,2022-12-08,00:17:06,5.27,2.06,01:27:21,01:51:21,02:15:04,01:52:21,5,02:29:45,,,CASH,cancelled,7.79
O120,C98,R102,E50,2022-01-26,08:13:49,9.08,6.22,20:44:59,21:24:59,,21:25:59,16,23:02:35,21:59:09,22:56:32,VISA CREDIT,suspicious,5.4
O121,C200,R106,E36,2022-09-18,22:58:24,9.98,4.8,22:59:24,23:00:24,23:02:24,23:01:24,11,23:03:24,,,AMEX CREDIT,delivered,9.07
O122,C2,R71,E34,2023-02-06,22:32:41,8.3,8.7,22:33:41,22:34:41,22:36:41,22:35:41,24,22:37:41,,,MASTER CREDIT,suspicious,2.63
O123,C23,R161,E12,2022-04-07,18:39:41,13.97,13.69,18:40:41,18:41:41,18:43:41,18:42:41,51,18:44:41,,,VISA DEBIT,suspicious,0.86
O124,C108,R67,E26,2022-03-11,04:24:25,12.27,13.88,11:13:20,11:42:20,11:44:20,11:43:20,48,11:45:02,,,MASTER DEBIT,delivered,8.45
O125,C71,R51,E31,2022-06-08,21:01:10,6.83,2.27,21:02:10,21:03:10,21:05:10,21:04:10,7,21:06:10,,,VISA CREDIT,cancelled,8.59
O126,C134,R66,E30,2023-01-09,07:15:39,5.61,1.23,19:49:49,20:04:49,,20:05:49,4,21:04:36,20:46:34,20:56:48,MASTER DEBIT,suspicious,5.63
O127,C27,R46,E46,2023-01-09,09:17:57,14.5,10.99,09:18:57,09:19:57,09:21:57,09:20:57,22,09:22:57,,,MASTER CREDIT,suspicious,0.85
O128,C196,R37,E8,2022-03-16,23:19:32,9.84,5.67,23:20:32,23:21:32,23:23:32,23:22:32,15,23:24:32,,,VISA DEBIT,suspicious,9.71
O129,C113,R80,E4,2022-06-14,05:17:35,5.21,8.52,10:29:16,11:02:16,11:42:46,11:03:16,23,11:49:11,,,AMEX CREDIT,suspicious,6.32
O130,C8,R118,E14,2023-01-05,08:04:09,13.63,10.53,21:14:54,21:34:54,22:14:50,21:35:54,27,22:25:04,,,MASTER CREDIT,cancelled,8.71
O131,C12,R120,E41,2022-08-16,07:50:21,15.41,13.14,16:57:35,17:27:35,,17:28:35,51,18:39:01,17:30:56,18:28:56,AMEX CREDIT,suspicious,6.85
O132,C139,R45,E14,2022-05-09,13:38:49,5.47,4.21,13:39:49,13:40:49,13:42:49,13:41:49,11,13:43:49,,,AMEX CREDIT,suspicious,6.62
O133,C170,R191,E31,2022-08-31,17:50:01,9.22,4.6,17:51:01,17:52:01,17:54:01,17:53:01,11,17:55:01,,,MASTER CREDIT,cancelled,0.12
O134,C78,R76,E36,2023-03-25,19:08:57,5.77,7.17,23:15:06,23:39:06,,23:40:06,21,00:44:17,00:11:59,00:29:36,AMEX DEBIT,cancelled,7.75
O135,C19,R38,E1,2022-10-30,11:54:49,7.09,9.57,19:25:15,19:51:15,,19:52:15,34,20:48:37,20:13:17,20:40:41,MASTER CREDIT,suspicious,1.97
O136,C37,R61,E49,2022-12-29,12:52:42,18.22,11.24,13:34:45,13:52:45,14:12:51,13:53:45,28,14:20:38,,,CASH,delivered,7.0
O137,C59,R29,E9,2022-11-13,07:49:06,9.64,9.31,15:56:06,16:13:06,16:55:01,16:14:06,23,16:55:34,,,CASH,cancelled,9.49
O138,C135,R132,E38,2022-11-30,01:40:03,5.85,4.34,12:05:12,12:30:12,,12:31:12,10,13:49:34,13:16:05,13:41:24,AMEX DEBIT,suspicious,0.74
O139,C169,R79,E17,2023-04-08,12:35:31,9.38,8.38,12:36:31,12:37:31,12:39:31,12:38:31,33,12:40:31,,,AMEX DEBIT,suspicious,2.56
O140,C84,R198,E29,2022-08-01,10:40:44,8.7,9.21,10:41:44,10:42:44,10:44:44,10:43:44,26,10:45:44,,,VISA CREDIT,cancelled,3.27
O141,C23,R20,E7,2022-03-22,08:46:59,5.83,6.22,08:47:59,08:48:59,,08:49:59,19,05:23:25,04:58:13,05:14:12,VISA CREDIT,suspicious,0.69
O142,C82,R173,E22,2022-02-25,18:59:03,17.53,13.41,19:00:03,19:01:03,19:03:03,19:02:03,36,19:04:03,,,VISA CREDIT,delivered,7.32
O143,C96,R168,E10,2022-11-02,17:39:38,11.57,10.84,17:40:38,17:41:38,17:43:38,17:42:38,23,17:44:38,,,MASTER CREDIT,cancelled,3.6
O144,C52,R131,E13,2022-07-26,19:36:12,18.96,12.23,19:37:12,19:38:12,,19:39:12,48,01:41:37,01:22:31,01:30:09,VISA CREDIT,cancelled,1.41
O145,C17,R62,E3,2022-07-16,18:49:15,10.32,13.83,18:50:15,18:51:15,,18:52:15,40,05:15:47,04:35:22,05:03:17,CASH,suspicious,8.84
O146,C179,R145,E44,2023-02-18,06:17:15,9.27,2.5,06:18:15,06:19:15,06:21:15,06:20:15,6,06:22:15,,,MASTER CREDIT,cancelled,5.88
O147,C16,R89,E13,2023-01-11,22:32:03,7.6,5.07,22:33:03,22:48:32,,22:49:32,15,23:43:55,23:11:14,23:31:55,CASH,suspicious,6.73
O148,C189,R107,E44,2022-03-13,13:27:19,8.52,4.94,13:28:19,13:29:19,13:31:19,13:30:19,15,13:32:19,,,CASH,delivered,0.42
O149,C18,R17,E10,2023-03-18,12:37:00,15.27,12.57,12:38:00,12:39:00,12:41:00,12:40:00,48,12:42:00,,,MASTER CREDIT,delivered,5.46
O150,C73,R9,E43,2023-01-18,22:16:57,6.49,3.64,22:17:57,22:18:57,22:20:57,22:19:57,10,22:21:57,,,VISA CREDIT,delivered,8.21
O151,C22,R21,E9,2023-03-04,10:30:15,9.16,7.09,10:31:15,10:32:15,10:34:15,10:33:15,14,10:35:15,,,VISA DEBIT,cancelled,6.45
O152,C196,R143,E10,2023-02-25,00:45:17,7.48,6.36,01:43:17,01:58:17,,01:59:17,22,03:58:47,02:53:43,03:47:27,AMEX DEBIT,suspicious,5.98
O153,C143,R177,E19,2022-11-18,13:19:16,10.41,13.07,14:52:17,15:20:17,15:26:58,15:21:17,44,15:27:39,,,AMEX CREDIT,suspicious,4.54
O154,C154,R194,E42,2022-02-05,21:12:32,12.93,13.18,21:13:32,21:14:32,21:16:32,21:15:32,34,21:17:32,,,VISA CREDIT,suspicious,0.75
O155,C134,R45,E20,2022-01-08,12:21:05,9.94,4.91,12:22:05,12:23:05,12:25:05,12:24:05,15,12:26:05,,,CASH,suspicious,0.47
O156,C139,R45,E10,2022-05-29,08:21:47,19.62,11.61,18:22:22,18:46:22,19:16:34,18:47:22,32,19:21:26,,,MASTER DEBIT,delivered,5.31
O157,C9,R33,E20,2022-07-04,20:34:10,7.64,2.81,20:35:10,20:36:10,20:38:10,20:37:10,10,20:39:10,,,CASH,suspicious,5.9
O158,C166,R18,E48,2022-12-02,17:09:08,8.41,3.64,17:10:08,17:11:08,17:13:08,17:12:08,9,17:14:08,,,CASH,suspicious,5.92
O159,C128,R6,E8,2022-05-16,02:03:46,9.63,9.38,22:03:51,22:17:51,22:27:34,22:18:51,28,22:38:09,,,VISA CREDIT,delivered,3.64
O160,C67,R7,E12,2022-09-22,01:28:31,7.0,5.15,18:42:09,19:12:09,19:52:15,19:13:09,11,19:52:44,,,MASTER CREDIT,delivered,8.9
